RT	subject	target	block	coherence	condition	response	session	idx
0.133857965469	1	1	1	0.27	Neutral	1.0	1	1010183
0.367124795914	1	0	1	0.27	Neutral	0.0	1	1010184
0.0675988197327	1	1	1	0.81	Neutral	1.0	1	1010185
0.234220266342	1	1	1	0.27	Neutral	1.0	1	1010186
0.08382296562189999	1	0	1	0.81	Neutral	0.0	1	1010187
0.6837849617	1	0	1	0.81	Neutral	0.0	1	1010188
0.21713256835900002	1	1	1	0.03	Neutral	1.0	1	1010189
0.117131948471	1	1	1	0.0	Neutral	1.0	1	1010190
0.217149019241	1	0	1	0.0	Neutral	0.0	1	1010191
0.13425993919399998	1	1	1	0.09	Neutral	0.0	1	1010192
0.0838029384613	1	1	1	0.03	Neutral	1.0	1	1010193
0.0342359542847	1	1	1	0.27	Neutral	1.0	1	1010194
0.21765255928000002	1	0	1	0.81	Neutral	0.0	1	1010195
0.050950527191199996	1	1	1	0.09	Neutral	0.0	1	1010196
0.433783054352	1	1	1	0.03	Neutral	0.0	1	1010197
0.0838356018066	1	1	1	0.81	Neutral	1.0	1	1010198
0.23380947113000003	1	1	1	0.09	Neutral	1.0	1	1010199
0.334012985229	1	1	2	0.27	Neutral	1.0	1	1010201
0.250463008881	1	1	2	0.27	Neutral	1.0	1	1010202
0.13381099700899998	1	1	2	0.27	Neutral	1.0	1	1010203
0.218309164047	1	0	2	0.0	Neutral	0.0	1	1010204
0.250936031342	1	0	2	0.0	Neutral	1.0	1	1010205
0.5671284198759999	1	0	2	0.03	Neutral	1.0	1	1010206
0.150946140289	1	0	2	0.27	Neutral	0.0	1	1010207
0.317569255829	1	1	2	0.27	Neutral	1.0	1	1010208
0.16716194152799999	1	0	2	0.09	Neutral	0.0	1	1010209
0.46712040901199997	1	1	2	0.09	Neutral	1.0	1	1010210
0.550441980362	1	0	2	0.0	Neutral	0.0	1	1010211
0.117642879486	1	1	2	0.09	Neutral	0.0	1	1010212
0.23378109931899999	1	0	2	0.27	Neutral	0.0	1	1010213
0.133795976639	1	0	2	0.81	Neutral	0.0	1	1010214
0.267127990723	1	0	2	0.81	Neutral	0.0	1	1010215
0.550899982452	1	1	2	0.03	Neutral	1.0	1	1010216
0.150518894196	1	0	2	0.27	Neutral	0.0	1	1010217
0.550498008728	1	0	2	0.81	Neutral	0.0	1	1010218
0.217123270035	1	1	2	0.81	Neutral	1.0	1	1010219
0.233790159225	1	1	2	0.81	Neutral	1.0	1	1010220
0.267158985138	1	1	2	0.27	Neutral	1.0	1	1010221
0.300915956497	1	1	2	0.09	Neutral	1.0	1	1010222
0.167146682739	1	0	2	0.09	Neutral	0.0	1	1010223
0.317113161087	1	1	2	0.81	Neutral	1.0	1	1010224
0.550930023193	1	0	2	0.03	Neutral	0.0	1	1010225
0.36714482307400004	1	1	2	0.03	Neutral	0.0	1	1010226
0.41712832450900006	1	0	2	0.0	Neutral	1.0	1	1010227
0.183802843094	1	0	2	0.09	Neutral	0.0	1	1010228
0.200453042984	1	0	2	0.27	Neutral	0.0	1	1010229
0.41711950302100004	1	1	2	0.03	Neutral	0.0	1	1010230
0.183846950531	1	0	2	0.27	Neutral	0.0	1	1010231
0.183861017227	1	1	2	0.09	Neutral	1.0	1	1010232
0.367583036423	1	0	2	0.0	Neutral	1.0	1	1010233
